datetime,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temperature,Humidity,season
2007-01-01 0:00,153.038,631.8,0,35,0,55,94,winter
2007-01-01 1:00,151.404,626.6,0,0,0,57,88,winter
2007-01-01 2:00,154.94,632.4,0,20,0,57,88,winter
2007-01-01 3:00,152.5,624.0,0,16,0,57,82,winter
2007-01-01 4:00,148.544,606.6,0,0,0,55,77,winter
2007-01-01 5:00,148.574,609.0,0,35,0,54,77,winter
2007-01-01 6:00,147.348,606.2,0,0,0,52,82,winter
2007-01-01 7:00,146.832,607.2,0,33,0,52,76,winter
2007-01-01 8:00,146.504,602.8,0,3,0,50,76,winter
2007-01-01 9:00,188.768,783.2,0,0,722,50,76,winter
2007-01-01 10:00,159.704,666.2,0,35,149,48,76,winter
2007-01-01 11:00,154.56,647.6,0,0,0,48,76,winter
2007-01-01 12:00,156.952,656.2,0,34,0,50,62,winter
2007-01-01 13:00,129.744,542.2,0,0,0,52,62,winter
2007-01-01 14:00,77.664,336.6,0,14,543,52,54,winter
2007-01-01 15:00,114.55,475.8,0,21,1049,50,58,winter
2007-01-01 16:00,83.406,344.8,0,0,1053,48,71,winter
2007-01-01 17:00,97.924,410.0,0,35,1037,48,71,winter
2007-01-01 18:00,87.714,362.4,0,0,1044,46,76,winter
2007-01-01 19:00,43.938,185.2,0,28,283,46,81,winter
2007-01-01 20:00,24.738,103.0,0,7,0,45,87,winter
2007-01-01 21:00,26.036,109.8,0,0,0,43,87,winter
2007-01-01 22:00,26.624,114.4,0,36,0,43,93,winter
2007-01-01 23:00,26.998,116.4,0,0,0,45,87,winter
2007-01-02 0:00,26.786,117.8,0,35,0,45,81,winter
2007-01-02 1:00,26.204,112.6,0,0,0,45,76,winter
2007-01-02 2:00,25.894,109.6,0,0,0,43,81,winter
2007-01-02 3:00,27.85,121.4,0,35,0,43,76,winter
2007-01-02 4:00,62.398,257.2,0,0,599,43,81,winter
2007-01-02 5:00,42.636,181.6,0,34,267,41,87,winter
2007-01-02 6:00,26.818,114.0,0,0,0,41,87,winter
2007-01-02 7:00,24.754,104.8,0,2,0,41,81,winter
2007-01-02 8:00,27.264,116.6,0,32,0,39,87,winter
2007-01-02 9:00,25.058,103.8,0,0,0,39,87,winter
2007-01-02 10:00,26.754,113.4,0,35,0,41,87,winter
2007-01-02 11:00,25.966,108.6,0,0,0,45,81,winter
2007-01-02 12:00,25.558,107.8,0,4,0,45,81,winter
2007-01-02 13:00,27.54,118.8,0,30,0,45,87,winter
2007-01-02 14:00,26.306,111.4,0,0,0,45,87,winter
2007-01-02 15:00,86.286,354.2,0,38,953,46,81,winter
2007-01-02 16:00,87.544,359.4,0,0,946,46,81,winter
2007-01-02 17:00,128.172,547.2,0,4,505,45,87,winter
2007-01-02 18:00,118.324,501.8,0,30,1038,45,81,winter
2007-01-02 19:00,91.098,379.6,0,0,1053,45,81,winter
2007-01-02 20:00,154.412,651.4,0,35,1045,45,81,winter
2007-01-02 21:00,79.286,333.8,0,0,156,45,81,winter
2007-01-02 22:00,31.694,136.4,0,27,0,45,81,winter
2007-01-02 23:00,44.634,185.0,0,7,0,45,87,winter
2007-01-03 0:00,67.526,278.6,0,0,0,45,87,winter
2007-01-03 1:00,54.042,224.8,0,34,0,45,87,winter
2007-01-03 2:00,18.29,83.2,0,0,0,43,87,winter
2007-01-03 3:00,19.998,94.8,0,34,0,41,87,winter
2007-01-03 4:00,17.93,79.2,0,1,0,41,87,winter
2007-01-03 5:00,57.098,235.2,0,0,653,39,93,winter
2007-01-03 6:00,20.06,93.0,0,34,0,39,93,winter
2007-01-03 7:00,18.102,81.8,0,0,0,41,87,winter
2007-01-03 8:00,19.176,88.8,0,34,0,39,93,winter
2007-01-03 9:00,36.15,161.6,0,0,0,39,93,winter
2007-01-03 10:00,52.454,228.6,0,0,0,41,87,winter
2007-01-03 11:00,58.584,249.4,0,34,507,43,87,winter
2007-01-03 12:00,83.866,342.8,0,0,1079,43,87,winter
2007-01-03 13:00,85.196,348.4,0,34,1084,45,87,winter
2007-01-03 14:00,65.422,272.4,0,0,764,45,87,winter
2007-01-03 15:00,18.12,85.0,0,4,0,45,87,winter
2007-01-03 16:00,22.06,108.6,0,31,0,45,87,winter
2007-01-03 17:00,17.108,75.2,0,0,0,46,87,winter
2007-01-03 18:00,21.672,104.4,0,35,0,46,87,winter
2007-01-03 19:00,17.34,77.8,0,0,0,45,87,winter
2007-01-03 20:00,19.576,92.6,0,9,0,45,87,winter
2007-01-03 21:00,66.926,284.6,0,25,0,45,87,winter
2007-01-03 22:00,57.242,237.0,0,0,160,46,81,winter
2007-01-03 23:00,100.116,412.4,0,35,518,46,87,winter
2007-01-04 0:00,202.504,845.4,509,572,0,46,87,winter
2007-01-04 1:00,173.804,726.2,542,20,0,46,87,winter
2007-01-04 2:00,143.24,589.2,0,16,0,46,87,winter
2007-01-04 3:00,141.722,583.8,0,0,0,45,93,winter
2007-01-04 4:00,142.202,588.6,0,36,0,45,93,winter
2007-01-04 5:00,140.712,580.6,0,0,0,45,93,winter
2007-01-04 6:00,141.524,584.0,0,24,0,46,93,winter
2007-01-04 7:00,139.574,579.8,0,12,0,46,93,winter
2007-01-04 8:00,144.228,602.4,0,0,0,48,93,winter
2007-01-04 9:00,160.024,673.4,0,36,998,50,87,winter
2007-01-04 10:00,113.882,475.8,0,0,1059,48,93,winter
2007-01-04 11:00,120.38,504.0,0,32,1068,52,82,winter
2007-01-04 12:00,243.994,1031.8,0,2403,1042,52,76,winter
2007-01-04 13:00,212.704,896.6,0,2100,1053,52,76,winter
2007-01-04 14:00,120.792,503.2,0,301,1076,52,76,winter
2007-01-04 15:00,52.758,224.8,0,40,456,52,71,winter
2007-01-04 16:00,197.388,826.8,0,1549,1058,50,71,winter
2007-01-04 17:00,164.478,697.0,0,248,1038,48,82,winter
2007-01-04 18:00,156.33,655.8,0,78,1035,50,71,winter
2007-01-04 19:00,171.244,723.0,0,10,1013,50,66,winter
2007-01-04 20:00,89.912,380.0,0,50,0,48,76,winter
2007-01-04 21:00,28.728,123.8,0,10,0,48,76,winter
2007-01-04 22:00,25.18,113.8,0,45,0,48,76,winter
2007-01-04 23:00,32.108,138.8,0,15,0,48,76,winter
2007-01-05 0:00,118.082,487.6,0,15,536,48,76,winter
2007-01-05 1:00,143.21,591.6,0,26,0,48,82,winter
2007-01-05 2:00,143.684,589.0,0,0,0,48,82,winter
2007-01-05 3:00,144.942,598.0,0,38,0,48,82,winter
2007-01-05 4:00,143.822,588.4,0,0,0,48,82,winter
2007-01-05 5:00,144.442,595.4,0,36,0,48,87,winter
2007-01-05 6:00,142.068,583.6,0,0,0,48,87,winter
2007-01-05 7:00,141.092,585.8,0,13,0,48,87,winter
2007-01-05 8:00,139.016,578.6,0,24,0,48,87,winter
2007-01-05 9:00,141.852,593.0,0,0,42,48,87,winter
2007-01-05 10:00,159.362,670.2,0,37,573,48,87,winter
2007-01-05 11:00,21.35,99.2,0,0,0,48,87,winter
2007-01-05 12:00,21.264,99.0,0,37,0,50,82,winter
2007-01-05 13:00,20.506,92.8,0,0,0,52,82,winter
2007-01-05 14:00,22.64,99.4,0,9,0,52,82,winter
2007-01-05 15:00,28.67,131.6,0,29,0,52,82,winter
2007-01-05 16:00,50.19,216.4,0,0,375,52,82,winter
2007-01-05 17:00,134.444,567.0,0,36,1036,50,87,winter
2007-01-05 18:00,143.976,608.6,0,0,1015,50,94,winter
2007-01-05 19:00,122.334,522.6,5,35,331,50,94,winter
2007-01-05 20:00,178.542,752.6,880,7,534,52,88,winter
2007-01-05 21:00,160.464,675.2,502,6,1036,52,88,winter
2007-01-05 22:00,143.082,599.2,96,31,1052,52,88,winter
2007-01-05 23:00,104.33,429.8,0,0,1072,52,88,winter
2007-01-06 0:00,89.584,370.4,0,37,1064,52,94,winter
2007-01-06 1:00,26.008,114.0,0,0,131,52,94,winter
2007-01-06 2:00,20.0,94.0,0,34,0,52,94,winter
2007-01-06 3:00,18.772,87.4,0,5,0,52,94,winter
2007-01-06 4:00,18.214,82.4,0,3,0,52,94,winter
2007-01-06 5:00,20.116,93.8,0,34,0,52,94,winter
2007-01-06 6:00,17.924,80.2,0,0,0,52,100,winter
2007-01-06 7:00,20.22,96.4,0,38,0,52,100,winter
2007-01-06 8:00,17.724,80.2,0,0,0,54,88,winter
2007-01-06 9:00,37.388,160.8,0,26,0,52,94,winter
2007-01-06 10:00,91.534,386.8,0,14,0,52,94,winter
2007-01-06 11:00,155.532,664.4,0,0,971,54,88,winter
2007-01-06 12:00,240.176,1049.8,1329,37,989,54,88,winter
2007-01-06 13:00,113.426,485.2,7,0,1037,54,88,winter
2007-01-06 14:00,101.974,431.8,0,38,1055,54,88,winter
2007-01-06 15:00,68.922,293.6,0,0,268,55,82,winter
2007-01-06 16:00,52.876,229.6,0,23,0,55,82,winter
2007-01-06 17:00,53.938,235.2,0,15,0,54,88,winter
2007-01-06 18:00,51.332,221.6,0,0,0,54,94,winter
2007-01-06 19:00,110.042,480.4,0,38,0,54,88,winter
2007-01-06 20:00,60.908,271.2,0,0,0,54,88,winter
2007-01-06 21:00,60.752,269.8,0,38,0,54,82,winter
2007-01-06 22:00,30.7,132.6,0,0,0,48,82,winter
2007-01-06 23:00,30.316,131.6,0,22,163,46,81,winter
2007-01-07 0:00,54.192,227.8,0,16,589,45,81,winter
2007-01-07 1:00,17.786,78.6,0,0,0,45,87,winter
2007-01-07 2:00,21.144,102.6,0,38,0,45,93,winter
2007-01-07 3:00,17.92,85.8,0,0,0,46,87,winter
2007-01-07 4:00,21.352,104.6,0,38,0,45,87,winter
2007-01-07 5:00,17.122,80.0,0,0,0,43,93,winter
2007-01-07 6:00,20.298,96.4,0,10,0,41,93,winter
2007-01-07 7:00,18.764,84.4,0,27,0,41,93,winter
2007-01-07 8:00,18.602,83.8,0,0,0,41,93,winter
2007-01-07 9:00,22.536,107.6,0,38,0,41,100,winter
2007-01-07 10:00,62.486,267.8,0,0,622,43,100,winter
2007-01-07 11:00,64.106,283.2,0,450,234,45,93,winter
2007-01-07 12:00,33.094,151.4,0,4,0,46,87,winter
2007-01-07 13:00,199.916,854.2,493,1433,949,48,82,winter
2007-01-07 14:00,151.986,630.0,498,495,1082,52,71,winter
2007-01-07 15:00,226.246,950.4,0,1977,1069,52,76,winter
2007-01-07 16:00,136.846,572.0,0,49,1061,50,82,winter
2007-01-07 17:00,144.284,611.4,0,194,1018,50,76,winter
2007-01-07 18:00,312.692,1357.2,0,1913,987,48,82,winter
2007-01-07 19:00,174.988,750.6,40,33,1013,48,82,winter
2007-01-07 20:00,211.392,905.4,445,27,1014,48,82,winter
2007-01-07 21:00,284.302,1211.0,511,1355,1022,48,82,winter
