datetime,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Min,Temp_Max,Humidity_Min,Humidity_Max
2006-12-31 18:00:00,153.038,631.8,0,35,0,55,55,94,94
2007-01-01 00:00:00,903.3100000000001,3704.8,0,71,0,52,57,77,88
2007-01-01 06:00:00,953.3199999999999,3963.2000000000003,0,105,871,48,52,62,76
2007-01-01 12:00:00,591.002,2471.8,0,70,4726,46,52,54,76
2007-01-01 18:00:00,175.12,746.6,0,106,283,43,46,81,93
2007-01-02 00:00:00,211.8,896.4,0,69,866,41,45,76,87
2007-01-02 06:00:00,155.354,655.0,0,73,0,39,45,81,87
2007-01-02 12:00:00,474.172,1992.8,0,102,3442,45,46,81,87
2007-01-02 18:00:00,468.65000000000003,1964.8000000000002,0,69,2254,45,45,81,87
2007-01-03 00:00:00,187.418,810.2,0,103,653,39,45,87,93
2007-01-03 06:00:00,268.332,1153.0,0,68,1586,39,43,87,93
2007-01-03 12:00:00,229.578,994.0,0,104,1848,45,46,87,87
2007-01-03 18:00:00,463.70399999999995,1949.8,509,641,678,45,46,81,87
2007-01-04 00:00:00,883.204,3652.4,542,96,0,45,46,87,93
2007-01-04 06:00:00,922.082,3867.2,0,2483,4167,46,52,76,93
2007-01-04 12:00:00,904.45,3804.2,0,4316,5716,48,52,71,82
2007-01-04 18:00:00,465.254,1967.0,0,145,1549,48,50,66,76
2007-01-05 00:00:00,862.168,3546.0,0,100,0,48,48,82,87
2007-01-05 06:00:00,623.936,2625.8,0,111,615,48,50,82,87
2007-01-05 12:00:00,400.426,1715.8000000000002,0,74,2426,50,52,82,94
2007-01-05 18:00:00,798.336,3349.8,1483,116,5089,50,52,88,94
2007-01-06 00:00:00,121.03399999999999,551.8,0,76,131,52,52,94,100
2007-01-06 06:00:00,562.5740000000001,2438.4,1329,115,1960,52,54,88,100
2007-01-06 12:00:00,442.468,1897.0,7,76,2360,54,55,82,94
2007-01-06 18:00:00,346.91,1513.4,0,114,752,45,54,81,88
2007-01-07 00:00:00,115.622,548.0,0,86,0,41,46,87,93
2007-01-07 06:00:00,219.588,978.2,0,519,856,41,46,87,100
2007-01-07 12:00:00,1171.97,4975.2,991,6061,6166,48,52,71,82
2007-01-07 18:00:00,967.876,4092.0,996,1513,6278,48,50,82,93
2007-01-08 00:00:00,422.458,1751.6,0,137,5104,50,52,82,94
2007-01-08 06:00:00,457.046,1933.6,0,104,3704,50,52,76,94
2007-01-08 12:00:00,678.462,2857.8,0,79,5207,50,52,82,94
2007-01-08 18:00:00,617.956,2630.0,0,129,2453,52,55,88,94
2007-01-09 00:00:00,187.684,827.0,0,119,855,55,55,88,94
2007-01-09 06:00:00,537.11,2250.6,1139,77,4855,54,55,88,94
2007-01-09 12:00:00,425.024,1820.4,0,121,3232,54,57,72,82
2007-01-09 18:00:00,734.12,3117.6,549,4013,1035,52,54,82,88
2007-01-10 00:00:00,166.566,744.2,0,167,521,48,52,82,88
2007-01-10 06:00:00,849.582,3562.8,771,2806,6047,50,52,82,88
2007-01-10 12:00:00,564.764,2402.2,0,1346,1805,50,55,76,88
2007-01-10 18:00:00,563.004,2405.8,0,109,2452,41,46,81,87
2007-01-11 00:00:00,165.594,733.8,0,70,789,39,41,87,93
2007-01-11 06:00:00,563.972,2353.8,841,103,5110,41,46,76,87
2007-01-11 12:00:00,659.076,2810.2,0,451,3343,48,52,76,87
2007-01-11 18:00:00,881.488,3745.2,537,1530,3173,50,54,82,88
2007-01-12 00:00:00,209.57999999999998,916.4,0,128,1190,43,48,81,93
2007-01-12 06:00:00,459.474,1927.0,0,111,3804,43,50,87,93
2007-01-12 12:00:00,257.572,1120.2,0,107,1038,52,54,77,82
2007-01-12 18:00:00,552.848,2312.4,0,74,2857,54,54,88,88
2007-01-13 00:00:00,104.388,487.2,0,107,0,52,54,82,88
2007-01-13 06:00:00,892.04,3789.2,2710,1873,2471,50,52,88,94
2007-01-13 12:00:00,725.062,3033.8,950,917,3412,52,52,82,88
2007-01-13 18:00:00,1612.454,6935.6,4146,118,5094,50,50,87,94
2007-01-14 00:00:00,649.296,2829.0,647,78,761,43,52,82,94
2007-01-14 06:00:00,488.382,2143.6,0,701,1792,39,50,76,93
2007-01-14 12:00:00,983.946,4173.400000000001,1130,3286,5001,43,54,58,87
2007-01-14 18:00:00,767.196,3234.0,0,110,6248,34,41,87,93
2007-01-15 00:00:00,176.252,750.8,0,100,1253,0,34,93,100
2007-01-15 06:00:00,629.602,2632.2,1099,73,5677,0,43,87,93
2007-01-15 12:00:00,560.4960000000001,2363.0,0,75,5050,45,46,81,87
2007-01-15 18:00:00,724.132,3045.4,0,2095,2107,46,46,87,87
2007-01-16 00:00:00,167.67600000000002,728.0,0,174,661,43,46,87,93
2007-01-16 06:00:00,445.93399999999997,1907.2,2057,98,1282,41,43,87,93
2007-01-16 12:00:00,683.316,2872.8,6,193,4423,45,50,81,87
2007-01-16 18:00:00,384.19599999999997,1631.6,0,100,217,48,48,87,93
2007-01-17 00:00:00,168.05,715.6,0,75,686,48,52,88,94
2007-01-17 06:00:00,1011.6859999999999,4248.0,2410,2458,6346,52,54,82,88
2007-01-17 12:00:00,807.086,3338.6000000000004,0,3100,5273,54,55,77,88
2007-01-17 18:00:00,927.006,3890.8,1090,98,4838,52,54,88,94
2007-01-18 00:00:00,181.13400000000001,781.4000000000001,0,85,1067,54,55,88,94
2007-01-18 06:00:00,423.442,1786.2,0,78,3703,55,57,82,94
2007-01-18 12:00:00,504.65,2147.8,0,77,3393,57,59,82,88
2007-01-18 18:00:00,646.458,2714.6,0,77,4249,55,57,82,94
2007-01-19 00:00:00,140.882,619.0,0,101,25,55,57,88,94
2007-01-19 06:00:00,510.292,2155.7999999999997,1079,77,3814,55,57,82,88
2007-01-19 12:00:00,256.308,1107.2,0,76,1300,57,59,77,88
2007-01-19 18:00:00,658.544,2784.2,1024,76,2033,55,55,88,94
2007-01-20 00:00:00,389.352,1759.6,0,100,0,54,55,88,94
2007-01-20 06:00:00,743.74,3192.0,1834,553,2697,54,55,72,94
2007-01-20 12:00:00,1074.972,4563.6,1618,3150,6215,50,57,72,94
2007-01-20 18:00:00,904.094,3863.6,872,1445,2528,46,50,76,87
2007-01-21 00:00:00,505.524,2229.6,0,77,750,43,45,81,87
2007-01-21 06:00:00,757.772,3248.2,2339,75,4184,43,48,71,81
2007-01-21 12:00:00,850.144,3619.4,2496,2314,3654,45,50,54,76
2007-01-21 18:00:00,1230.45,5299.400000000001,5511,3101,3011,39,43,76,87
2007-01-22 00:00:00,143.452,617.5999999999999,0,76,693,37,39,87,93
2007-01-22 06:00:00,717.786,2987.0,1054,74,5330,36,41,87,93
2007-01-22 12:00:00,459.438,1909.0,0,87,3739,43,45,81,87
2007-01-22 18:00:00,963.316,4069.2,0,3409,2241,41,43,81,93
2007-01-23 00:00:00,172.048,804.4,0,171,0,34,41,44,81
2007-01-23 06:00:00,368.074,1542.8,0,81,2517,32,34,32,51
2007-01-23 12:00:00,334.876,1399.6,0,74,544,34,36,20,41
2007-01-23 18:00:00,891.026,3779.8,0,74,1761,32,34,56,75
2007-01-24 00:00:00,529.348,2276.6,0,73,178,32,34,80,87
2007-01-24 06:00:00,1071.73,4528.6,2418,2220,5873,34,34,87,93
2007-01-24 12:00:00,752.032,3098.4,1046,113,4150,34,37,81,93
2007-01-24 18:00:00,559.654,2356.4,0,74,1421,30,36,75,87
2007-01-25 00:00:00,114.49199999999999,505.79999999999995,0,72,119,28,30,80,86
2007-01-25 06:00:00,323.06,1348.0,0,47,2428,27,30,64,86
2007-01-25 12:00:00,537.222,2215.4,580,71,5027,30,32,64,75
2007-01-25 18:00:00,603.39,2525.4,578,71,3384,28,30,74,75
2007-01-26 00:00:00,148.964,647.2,0,47,508,23,27,80,86
2007-01-26 06:00:00,518.018,2189.6,0,70,3118,23,30,75,93
2007-01-26 12:00:00,335.344,1397.2,0,48,2593,32,37,56,70
2007-01-26 18:00:00,628.958,2612.7999999999997,1199,72,2019,36,36,70,81
2007-01-27 00:00:00,125.01599999999999,546.2,0,70,241,34,37,81,93
2007-01-27 06:00:00,614.818,2577.2000000000003,0,678,4717,34,43,87,93
2007-01-27 12:00:00,744.102,3088.4,1134,1761,6097,43,48,66,81
2007-01-27 18:00:00,719.5740000000001,3023.6,0,2665,1826,34,43,76,93
2007-01-28 00:00:00,515.222,2230.4,0,164,0,0,36,93,100
2007-01-28 06:00:00,833.506,3567.8,1238,1167,2774,36,41,87,100
