datetime,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Min,Temp_Max,Humidity_Min,Humidity_Max,Temp_Avg,Temp_Range,Humidity_Avg,Humidity_Range
2007-01-01 06:00:00,755.962,3098.6,0,71,0,54,57,77,88,55.5,3,82.5,11
2007-01-01 12:00:00,943.716,3913.2,0,71,871,48,52,76,82,50.0,4,79.0,6
2007-01-01 18:00:00,660.24,2765.6000000000004,0,104,3682,48,52,54,71,50.0,4,62.5,17
2007-01-02 00:00:00,236.048,991.2,0,71,1327,43,46,76,93,44.5,3,84.5,17
2007-01-02 06:00:00,211.768,900.1999999999999,0,104,866,41,45,76,87,43.0,4,81.5,11
2007-01-02 12:00:00,156.614,661.2,0,69,0,39,45,81,87,42.0,6,84.0,6
2007-01-02 18:00:00,381.406,1598.8,0,76,2404,45,46,81,87,45.5,1,84.0,6
2007-01-03 00:00:00,519.448,2188.0,0,99,3292,45,45,81,87,45.0,0,84.0,6
2007-01-03 06:00:00,234.884,995.8,0,69,653,39,45,87,93,42.0,6,90.0,6
2007-01-03 12:00:00,204.526,903.2,0,102,507,39,43,87,93,41.0,4,90.0,6
2007-01-03 18:00:00,291.772,1232.4,0,69,2927,43,46,87,87,44.5,3,87.0,0
2007-01-04 00:00:00,282.872,1208.8,0,104,678,45,46,81,87,45.5,1,84.0,6
2007-01-04 06:00:00,944.184,3913.8,1051,644,0,45,46,87,93,45.5,1,90.0,6
2007-01-04 12:00:00,819.6120000000001,3419.4,0,104,3125,46,52,82,93,49.0,6,87.5,11
2007-01-04 18:00:00,992.114,4180.2,0,6641,5723,48,52,71,82,50.0,4,76.5,11
2007-01-05 00:00:00,503.502,2135.2,0,208,2048,48,50,66,76,49.0,2,71.0,10
2007-01-05 06:00:00,838.182,3450.0,0,115,536,48,48,76,87,48.0,0,81.5,11
2007-01-05 12:00:00,744.74,3110.4,0,74,615,48,48,87,87,48.0,0,87.0,0
2007-01-05 18:00:00,277.714,1206.2,0,111,1411,50,52,82,87,51.0,2,84.5,5
2007-01-06 00:00:00,852.728,3588.0,1483,79,5040,50,52,88,94,51.0,2,91.0,6
2007-01-06 06:00:00,192.694,842.0,0,113,1195,52,52,94,94,52.0,0,94.0,0
2007-01-06 12:00:00,340.322,1468.8,0,78,971,52,54,88,100,53.0,2,94.0,12
2007-01-06 18:00:00,631.312,2725.2,1336,113,3349,54,55,82,88,54.5,1,85.0,6
2007-01-07 00:00:00,344.05,1507.2,0,98,163,46,54,81,94,50.0,8,87.5,13
2007-01-07 06:00:00,149.516,679.4,0,92,589,43,46,81,93,44.5,3,87.0,12
2007-01-07 12:00:00,206.792,923.2,0,525,856,41,45,93,100,43.0,4,96.5,7
2007-01-07 18:00:00,892.372,3769.4,991,4152,5179,46,52,71,87,49.0,6,79.0,16
2007-01-08 00:00:00,1198.94,5115.0,996,3408,6186,48,48,82,93,48.0,0,87.5,11
2007-01-08 06:00:00,475.9980000000001,1960.2,0,140,6183,50,52,82,87,51.0,2,84.5,5
2007-01-08 12:00:00,465.398,1967.0,0,105,3704,50,52,82,94,51.0,2,88.0,12
2007-01-08 18:00:00,523.72,2207.6,0,93,4191,50,52,76,94,51.0,2,85.0,18
2007-01-09 00:00:00,776.244,3299.6,0,129,3469,50,55,88,94,52.5,5,91.0,6
2007-01-09 06:00:00,136.466,611.2,0,83,503,55,55,88,94,55.0,0,91.0,6
2007-01-09 12:00:00,587.902,2464.6,1139,113,5207,54,55,88,94,54.5,1,91.0,6
2007-01-09 18:00:00,299.256,1289.8,0,104,2197,55,57,72,88,56.0,2,80.0,16
2007-01-10 00:00:00,845.43,3584.8,549,3967,1883,52,54,82,88,53.0,2,85.0,6
2007-01-10 06:00:00,143.784,646.8,0,194,563,50,52,82,88,51.0,2,85.0,6
