date,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Min,Temp_Max,Humidity_Min,Humidity_Max
2007-01-01,2749.004,11400.4,0,352,5880,43,57,54,94
2007-01-02,1269.236,5348.2,0,348,6562,39,46,76,87
2007-01-03,1014.054,4340.2,0,344,4765,39,46,81,93
2007-01-04,3259.4120000000003,13648.6,1051,7597,10896,45,52,66,93
2007-01-05,2713.364,11354.6,1483,379,7602,48,52,76,94
2007-01-06,1508.378,6543.2,1336,402,5678,46,55,81,100
2007-01-07,2447.62,10487.0,1987,8177,12810,41,52,71,100
2007-01-08,2241.36,9434.4,0,467,17547,50,55,76,94
2007-01-09,1869.054,7950.400000000001,1688,4267,9790,52,57,72,94
2007-01-10,2154.8,9155.2,771,4456,11012,41,55,76,88
2007-01-11,2255.194,9588.0,1378,2170,12415,39,54,76,93
2007-01-12,1461.296,6205.2,0,439,8276,43,54,77,93
2007-01-13,3186.814,13612.4,7806,2975,11341,50,54,82,94
2007-01-14,3007.816,12905.4,1777,4215,12975,37,54,58,94
2007-01-15,2148.678,9016.6,1099,2239,15163,0,46,81,100
2007-01-16,1686.404,7165.4,2063,644,6583,41,50,81,93
2007-01-17,2847.688,11928.8,3500,5737,16064,48,55,77,94
2007-01-18,1821.462,7693.2,0,336,13491,52,59,82,94
2007-01-19,1480.44,6301.8,2103,330,7172,55,59,77,94
2007-01-20,3133.732,13461.2,4324,5222,11440,46,57,72,94
2007-01-21,3407.262,14674.6,10346,5567,11599,39,50,54,87
2007-01-22,2180.494,9151.6,1054,2983,11361,36,45,81,93
2007-01-23,1777.64,7575.6,0,1064,5061,32,41,20,81
2007-01-24,2987.854,12576.4,3464,2480,11744,30,37,75,93
2007-01-25,1596.344,6666.2,1158,262,11239,27,32,64,86
2007-01-26,1617.972,6798.8,1163,261,8238,23,37,56,93
2007-01-27,2044.072,8567.8,1170,3896,12374,34,48,66,93
2007-01-28,3090.204,13143.4,3466,3997,12045,0,45,71,100
2007-01-29,1982.664,8336.0,1123,294,15254,37,52,67,93
2007-01-30,1707.798,7240.6,1123,1424,8149,37,48,71,100
2007-01-31,2363.752,9970.0,0,5950,15052,39,48,62,93
2007-02-01,1824.76,7678.8,1170,386,13145,43,52,76,93
2007-02-02,1667.7359999999999,7014.0,0,356,11338,48,50,87,100
2007-02-03,4029.7219999999998,17015.0,4746,4573,17834,39,50,54,87
2007-02-04,3595.94,15214.2,3391,4597,14472,36,52,54,93
2007-02-05,1645.28,6941.4,896,2564,7849,37,43,76,93
2007-02-06,1273.48,5431.6,1185,405,4517,37,45,71,93
2007-02-07,2328.018,9780.0,3299,3513,11986,32,39,75,100
2007-02-08,1801.414,7557.6,2226,366,10157,34,34,93,93
2007-02-09,1620.198,6807.2,0,3045,9770,37,50,62,93
2007-02-10,2829.328,11957.4,5071,2831,14405,46,46,87,87
2007-02-11,3571.228,15158.6,2430,4765,13114,48,54,67,94
2007-02-12,1877.61,7925.0,2227,399,11517,45,54,58,94
2007-02-13,1414.546,5967.0,0,2828,6256,45,52,58,87
2007-02-14,2498.672,10533.8,3295,3793,11579,43,52,66,94
2007-02-15,1985.346,8381.2,0,2363,14028,34,50,62,100
2007-02-16,1702.528,7267.0,1148,859,8689,36,55,54,87
2007-02-17,2076.912,8826.0,1765,2226,7157,41,64,42,76
2007-02-18,3829.7619999999997,16184.0,6107,8003,13129,41,61,52,100
2007-02-19,2186.614,9276.8,1634,2900,13085,43,50,76,100
2007-02-20,3149.928,13202.6,2058,5191,9713,37,57,63,100
2007-02-21,2072.874,8747.2,3527,2332,11548,43,55,47,93
2007-02-22,3369.478,14194.199999999999,1409,4129,12251,37,54,67,93
2007-02-23,1313.48,5508.6,0,503,10786,45,52,76,93
2007-02-24,714.922,3003.6,0,363,3562,48,54,71,93
2007-02-25,501.74,2105.6,0,329,1660,43,52,71,94
2007-02-26,568.484,2388.8,0,331,2830,43,54,54,93
2007-02-27,518.112,2195.4,0,314,1924,41,55,82,94
2007-02-28,520.774,2201.0,0,340,1973,48,57,72,94
2007-03-01,517.564,2172.8,0,316,1980,46,52,67,93
2007-03-02,515.688,2169.8,0,340,1969,39,54,67,100
2007-03-03,819.122,3457.6,0,347,4597,43,55,51,94
2007-03-04,2090.7,8867.8,1476,8711,9408,39,61,59,100
2007-03-05,2660.332,11290.0,5727,12109,10026,46,55,47,93
2007-03-06,1246.5,5321.8,0,1740,4700,48,50,66,87
2007-03-07,2375.206,9986.4,1076,4761,15513,0,54,0,93
2007-03-08,1572.1319999999998,6717.8,2180,3385,6655,36,59,42,93
2007-03-09,1272.612,5373.0,1093,345,8631,39,54,47,93
2007-03-10,2484.712,10572.4,4130,5422,10979,34,59,39,93
2007-03-11,3480.636,14575.0,4810,3420,9500,34,59,44,100
2007-03-12,1950.6680000000001,8249.0,1403,2841,12353,34,61,42,93
2007-03-13,1290.144,5480.2,1350,3859,5323,36,61,34,93
2007-03-14,1793.364,7585.2,3485,480,8607,41,59,39,93
2007-03-15,1884.814,7953.4,0,3263,11036,39,59,45,81
2007-03-16,1702.054,7189.0,1106,4604,5370,34,57,51,93
2007-03-17,2028.09,8562.4,2208,359,12275,43,52,76,87
2007-03-18,2371.046,10091.4,6564,7369,5856,39,50,50,93
2007-03-19,2152.518,9046.0,1648,2686,14118,36,45,61,87
2007-03-20,2086.228,8857.8,3745,2837,11255,32,46,62,93
2007-03-21,2142.092,8981.6,1865,4133,12335,36,45,57,87
2007-03-22,1454.978,6081.2,353,736,10462,39,48,43,75
2007-03-23,1309.008,5477.4,1127,777,8369,30,43,65,87
2007-03-24,2968.43,12532.8,3707,5797,16382,36,45,81,93
2007-03-25,3336.124,13990.4,4630,3600,9358,43,50,62,93
2007-03-26,1416.082,6023.6,1088,344,9096,36,59,51,93
2007-03-27,1105.14,4747.0,0,3019,3697,37,63,39,93
2007-03-28,2333.898,9870.6,1122,8527,13888,39,64,39,93
2007-03-29,1590.406,6734.599999999999,1162,460,10724,45,54,58,87
2007-03-30,1402.394,6033.0,1094,468,8217,37,46,62,93
2007-03-31,3509.5099999999998,14781.199999999999,2620,7707,17682,34,46,71,93
2007-04-01,2785.952,11735.2,4629,5401,19509,43,61,48,93
2007-04-02,1960.778,8226.2,1755,970,16641,46,66,43,87
2007-04-03,1642.82,6978.6,3630,1042,7637,45,57,48,76
2007-04-04,2051.868,8620.2,3434,420,14748,39,54,41,87
2007-04-05,1844.078,7907.8,1086,4277,10523,39,61,29,70
2007-04-06,1601.14,6751.599999999999,0,5466,9166,43,66,32,87
2007-04-07,1553.924,6573.0,1127,3111,5923,43,61,45,93
2007-04-08,1608.816,6796.6,0,485,3545,41,63,39,81
2007-04-09,1000.92,4283.4,2667,514,3801,39,66,32,93
2007-04-10,777.364,3380.2,209,742,2572,45,66,32,93
2007-04-11,887.482,3771.0,0,1112,6421,46,68,46,87
2007-04-12,537.706,2301.0,0,541,1818,46,75,38,87
2007-04-13,551.022,2366.4,0,558,1988,54,75,44,82
2007-04-14,554.268,2378.0,0,578,2008,52,79,44,88
2007-04-15,726.164,3148.6,0,1026,2893,52,81,42,94
2007-04-16,952.39,4136.4,952,1305,4656,64,64,68,68
2007-04-17,1223.734,5314.8,1532,389,6199,52,68,49,82
2007-04-18,998.246,4313.4,1579,355,3430,45,63,34,87
2007-04-19,1028.658,4400.4,733,1605,5748,39,66,28,87
2007-04-20,822.58,3592.6,1069,360,3499,45,68,37,81
2007-04-21,1673.656,7251.4,6575,463,11129,46,70,27,71
2007-04-22,2233.714,9631.4,4264,2287,11102,39,75,29,93
2007-04-23,1054.566,4700.4,1402,506,6005,48,79,34,87
2007-04-24,1032.1,4528.6,1125,527,6680,54,79,36,88
2007-04-25,1264.162,5555.6,0,1469,8812,54,82,26,82
2007-04-26,1275.466,5650.2,1324,1845,7163,55,77,47,77
2007-04-27,1094.3319999999999,4770.0,1772,545,4756,55,81,32,94
2007-04-28,22.738,97.4,0,18,0,55,81,32,94
2007-04-29,0.0,0.0,0,0,0,55,75,44,88
2007-04-30,420.822,1865.8000000000002,1214,500,1131,52,73,44,94
2007-05-01,1663.858,7305.6,4005,995,8546,52,73,29,58
2007-05-02,1003.486,4523.8,7,1490,3754,52,70,35,72
2007-05-03,1090.238,4763.0,1906,1725,7836,46,70,35,93
2007-05-04,998.128,4432.4,2259,538,3990,50,68,46,88
2007-05-05,1563.052,6820.0,2913,2493,11303,50,61,63,88
2007-05-06,2102.104,9229.0,3215,949,10095,45,68,49,93
2007-05-07,1643.664,7172.6,946,4935,9433,55,66,64,88
2007-05-08,1789.292,7713.2,4581,2011,8777,55,70,49,94
2007-05-09,1665.736,7280.8,3018,5631,9474,59,59,88,88
2007-05-10,707.884,3177.8,946,534,3261,54,75,41,88
2007-05-11,979.154,4359.8,926,491,6471,54,64,48,94
2007-05-12,1441.566,6279.2,2247,1075,10408,54,68,49,88
2007-05-13,1634.738,7155.6,3612,2414,8958,50,75,43,94
2007-05-14,1467.782,6586.8,3176,2417,5517,52,64,52,94
