month,day,hour,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Max,Temp_Min,Humidity_Max,Humidity_Min
1,1,0,95.816,394.6,0,0,1074,43,0,100,81
1,1,1,97.174,402.2,0,27,1068,43,0,100,81
1,1,2,148.424,611.2,0,0,1084,43,0,100,81
1,1,3,163.868,673.4,0,28,1077,43,0,100,81
1,1,4,145.868,599.4,0,0,1069,43,0,100,81
1,1,5,148.78,612,0,2,1065,43,0,100,81
1,1,6,101.412,414,0,26,341,43,0,100,81
1,1,7,79.928,326.6,0,0,0,43,0,100,81
1,1,8,82.51,337.4,0,28,0,43,0,100,81
1,1,9,63.054,260.6,0,0,0,43,0,100,81
1,1,10,35.154,155.6,0,7,0,43,0,100,81
1,1,11,159.114,663.4,542,418,815,43,0,100,81
1,1,12,123.61,517.8,582,31,565,43,0,100,81
1,1,13,176.868,755.6,0,1759,116,43,0,100,81
1,1,14,109.16,449.6,0,266,1088,43,0,100,81
1,1,15,62.95,260.2,0,63,607,43,0,100,81
1,1,16,50.748,208.6,0,0,0,43,0,100,81
1,1,17,124.03,516.4,0,28,0,43,0,100,81
1,1,18,172.816,726.2,0,0,0,43,0,100,81
1,1,19,180.434,766.2,0,17,460,43,0,100,81
1,1,20,172.386,724,0,11,1039,43,0,100,81
1,1,21,162.29,681,689,0,887,43,0,100,81
1,1,22,79.592,333.4,648,28,0,43,0,100,81
1,1,23,23.752,99.8,0,0,0,43,0,100,81
1,2,0,22.702,97.8,0,28,0,36,0,100,75
1,2,1,21.308,93.6,0,0,0,36,0,100,75
1,2,2,19.534,82.8,0,0,0,36,0,100,75
1,2,3,22.026,96.6,0,28,0,36,0,100,75
1,2,4,52.156,215.2,0,0,521,36,0,100,75
1,2,5,21.796,95.2,0,27,0,36,0,100,75
1,2,6,67.902,285.4,0,0,0,36,0,100,75
1,2,7,128.446,533,0,0,632,36,0,100,75
1,2,8,97.59,408,0,28,1047,36,0,100,75
1,2,9,91.812,379,0,0,1068,36,0,100,75
1,2,10,97.242,403.6,0,21,1060,36,0,100,75
1,2,11,90.474,373.4,0,7,1075,36,0,100,75
1,2,12,82.974,344.8,0,0,1065,36,0,100,75
1,2,13,86.458,357.4,0,27,1070,36,0,100,75
1,2,14,57.864,238.4,0,0,620,36,0,100,75
1,2,15,24.496,107.2,0,0,0,36,0,100,75
1,2,16,23.11,101.8,0,28,0,36,0,100,75
1,2,17,32.604,137.4,0,0,0,36,0,100,75
1,2,18,68.246,286.6,0,8,0,36,0,100,75
1,2,19,101.236,426.8,0,361,0,36,0,100,75
1,2,20,77.788,323,0,46,829,36,0,100,75
1,2,21,91.55,382.2,0,30,0,36,0,100,75
1,2,22,135.794,560.4,0,850,0,36,0,100,75
1,2,23,128.998,539.8,0,1605,0,36,0,100,75
1,3,0,26.56,113.4,0,31,0,39,28,100,80
1,3,1,22.516,97.4,0,55,0,39,28,100,80
1,3,2,67.502,275.4,0,22,760,39,28,100,80
1,3,3,21.088,92,0,10,0,39,28,100,80
1,3,4,22.364,99.4,0,40,0,39,28,100,80
1,3,5,20.176,88.8,0,9,0,39,28,100,80
1,3,6,48.786,210.4,0,14,0,39,28,100,80
1,3,7,52.854,225,0,28,138,39,28,100,80
1,3,8,118.56,492.6,0,0,1057,39,28,100,80
1,3,9,47.87,200.2,0,28,187,39,28,100,80
1,3,10,34.66,142.6,0,0,0,39,28,100,80
1,3,11,105.928,436,0,0,937,39,28,100,80
1,3,12,81.938,347.8,0,30,368,39,28,100,80
1,3,13,27.692,122.8,0,0,0,39,28,100,80
1,3,14,21.4,88.6,0,0,0,39,28,100,80
1,3,15,39.466,161,0,29,0,39,28,100,80
1,3,16,56.776,233.4,0,0,0,39,28,100,80
1,3,17,131.756,545.2,0,1,807,39,28,100,80
1,3,18,143.096,600.2,0,28,1033,39,28,100,80
1,3,19,135.318,571.2,0,0,1033,39,28,100,80
1,3,20,154.046,652.6,377,454,351,39,28,100,80
1,3,21,73.244,307.6,753,38,0,39,28,100,80
1,3,22,31.98,131.2,0,0,0,39,28,100,80
1,3,23,24.532,103.6,0,29,0,39,28,100,80
1,4,0,50.246,206.6,0,0,550,50,39,93,71
1,4,1,16.046,68,0,0,0,50,39,93,71
1,4,2,19.35,84,0,30,0,50,39,93,71
1,4,3,17.132,71.6,0,0,0,50,39,93,71
1,4,4,16.602,70,0,0,0,50,39,93,71
1,4,5,19.79,86.4,0,30,0,50,39,93,71
1,4,6,74.718,314.8,0,0,263,50,39,93,71
1,4,7,174.526,730.8,0,16,1041,50,39,93,71
1,4,8,177.818,757.8,0,1491,1030,50,39,93,71
1,4,9,102.83,428,0,84,1054,50,39,93,71
1,4,10,108.756,457.4,0,40,1043,50,39,93,71
1,4,11,89.318,378.2,0,9,695,50,39,93,71
1,4,12,48.748,211,0,41,0,50,39,93,71
1,4,13,100.024,417.8,0,9,1048,50,39,93,71
1,4,14,47.238,207.4,0,40,250,50,39,93,71
1,4,15,195.208,814.6,0,1770,540,50,39,93,71
1,4,16,149.622,623.2,0,91,1086,50,39,93,71
1,4,17,228.838,979.4,0,1519,1028,50,39,93,71
1,4,18,112.23,475.6,0,57,1031,50,39,93,71
1,4,19,106.252,455.6,0,34,25,50,39,93,71
1,4,20,167.56,715.8,571,36,668,50,39,93,71
1,4,21,125.674,526.6,312,0,400,50,39,93,71
1,4,22,94.638,390.8,358,29,0,50,39,93,71
1,4,23,48.688,198.4,0,0,0,50,39,93,71
1,5,0,21.76,92.2,0,27,0,48,43,100,82
1,5,1,18.28,76.4,0,1,0,48,43,100,82
1,5,2,16.812,70.8,0,0,0,48,43,100,82
1,5,3,35.564,150.6,0,29,281,48,43,100,82
1,5,4,29.794,123.8,0,0,213,48,43,100,82
1,5,5,18.486,81,0,29,0,48,43,100,82
1,5,6,17.118,71.4,0,0,0,48,43,100,82
1,5,7,17.888,76.4,0,0,0,48,43,100,82
1,5,8,116.458,492.8,0,28,560,48,43,100,82
1,5,9,89.576,375.6,0,0,620,48,43,100,82
1,5,10,95.992,410.4,0,28,1012,48,43,100,82
1,5,11,85.126,363.4,0,0,1010,48,43,100,82
1,5,12,146.93,638.4,0,13,1017,48,43,100,82
1,5,13,126.426,537.6,9,16,1029,48,43,100,82
1,5,14,140.162,590.6,785,0,1049,48,43,100,82
