datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,year,month,day,Temp_Max,Temp_Min,Humidity_Max,Humidity_Min
2008-01-01 0:00,95.816,2.786,14493.18,394.6,0,0,1074,2008,1,1,43,0,100,81
2008-01-01 1:00,97.174,5.242,14449.83,402.2,0,27,1068,2008,1,1,43,0,100,81
2008-01-01 2:00,148.424,4.402,14564.73,611.2,0,0,1084,2008,1,1,43,0,100,81
2008-01-01 3:00,163.868,4.58,14514.79,673.4,0,28,1077,2008,1,1,43,0,100,81
2008-01-01 4:00,145.868,3.668,14463.91,599.4,0,0,1069,2008,1,1,43,0,100,81
2008-01-01 5:00,148.78,3.608,14430.77,612,0,2,1065,2008,1,1,43,0,100,81
2008-01-01 6:00,101.412,3.98,14482.04,414,0,26,341,2008,1,1,43,0,100,81
2008-01-01 7:00,79.928,3.546,14459.11,326.6,0,0,0,2008,1,1,43,0,100,81
2008-01-01 8:00,82.51,6.424,14510.24,337.4,0,28,0,2008,1,1,43,0,100,81
2008-01-01 9:00,63.054,2.818,14535.74,260.6,0,0,0,2008,1,1,43,0,100,81
2008-01-01 10:00,35.154,5.444,14498.54,155.6,0,7,0,2008,1,1,43,0,100,81
2008-01-01 11:00,159.114,5.93,14468.96,663.4,542,418,815,2008,1,1,43,0,100,81
2008-01-01 12:00,123.61,5.416,14485.87,517.8,582,31,565,2008,1,1,43,0,100,81
2008-01-01 13:00,176.868,20.978,14322.39,755.6,0,1759,116,2008,1,1,43,0,100,81
2008-01-01 14:00,109.16,3.374,14590.83,449.6,0,266,1088,2008,1,1,43,0,100,81
2008-01-01 15:00,62.95,7.842,14684.54,260.2,0,63,607,2008,1,1,43,0,100,81
2008-01-01 16:00,50.748,3.884,14630.28,208.6,0,0,0,2008,1,1,43,0,100,81
2008-01-01 17:00,124.03,5.244,14284.89,516.4,0,28,0,2008,1,1,43,0,100,81
2008-01-01 18:00,172.816,2.478,14255.09,726.2,0,0,0,2008,1,1,43,0,100,81
2008-01-01 19:00,180.434,13.568,14162.25,766.2,0,17,460,2008,1,1,43,0,100,81
2008-01-01 20:00,172.386,11.188,14252.59,724,0,11,1039,2008,1,1,43,0,100,81
2008-01-01 21:00,162.29,3.504,14369.97,681,689,0,887,2008,1,1,43,0,100,81
2008-01-01 22:00,79.592,8.654,14470.03,333.4,648,28,0,2008,1,1,43,0,100,81
2008-01-01 23:00,23.752,3.95,14712.24,99.8,0,0,0,2008,1,1,43,0,100,81
2008-01-02 0:00,22.702,5.264,14733.84,97.8,0,28,0,2008,1,2,36,0,100,75
2008-01-02 1:00,21.308,5.25,14465.68,93.6,0,0,0,2008,1,2,36,0,100,75
2008-01-02 2:00,19.534,2.712,14738.44,82.8,0,0,0,2008,1,2,36,0,100,75
2008-01-02 3:00,22.026,6.266,14815.59,96.6,0,28,0,2008,1,2,36,0,100,75
2008-01-02 4:00,52.156,3.728,14705.3,215.2,0,0,521,2008,1,2,36,0,100,75
2008-01-02 5:00,21.796,5.804,14753.29,95.2,0,27,0,2008,1,2,36,0,100,75
2008-01-02 6:00,67.902,3.536,14688.09,285.4,0,0,0,2008,1,2,36,0,100,75
2008-01-02 7:00,128.446,3.992,14470.96,533,0,0,632,2008,1,2,36,0,100,75
2008-01-02 8:00,97.59,6.19,14301.57,408,0,28,1047,2008,1,2,36,0,100,75
2008-01-02 9:00,91.812,2.964,14450.35,379,0,0,1068,2008,1,2,36,0,100,75
2008-01-02 10:00,97.242,4.73,14394.25,403.6,0,21,1060,2008,1,2,36,0,100,75
2008-01-02 11:00,90.474,5.398,14505.98,373.4,0,7,1075,2008,1,2,36,0,100,75
2008-01-02 12:00,82.974,2.478,14427.28,344.8,0,0,1065,2008,1,2,36,0,100,75
2008-01-02 13:00,86.458,5.688,14464.46,357.4,0,27,1070,2008,1,2,36,0,100,75
2008-01-02 14:00,57.864,4.13,14707.66,238.4,0,0,620,2008,1,2,36,0,100,75
2008-01-02 15:00,24.496,3.086,14764.48,107.2,0,0,0,2008,1,2,36,0,100,75
2008-01-02 16:00,23.11,6.59,14736.86,101.8,0,28,0,2008,1,2,36,0,100,75
2008-01-02 17:00,32.604,3.338,14473.57,137.4,0,0,0,2008,1,2,36,0,100,75
2008-01-02 18:00,68.246,3.478,14289.69,286.6,0,8,0,2008,1,2,36,0,100,75
2008-01-02 19:00,101.236,3.526,14361.01,426.8,0,361,0,2008,1,2,36,0,100,75
2008-01-02 20:00,77.788,3.332,14367.67,323,0,46,829,2008,1,2,36,0,100,75
2008-01-02 21:00,91.55,5.258,14368.5,382.2,0,30,0,2008,1,2,36,0,100,75
2008-01-02 22:00,135.794,3.416,14446.86,560.4,0,850,0,2008,1,2,36,0,100,75
2008-01-02 23:00,128.998,11.512,14649.75,539.8,0,1605,0,2008,1,2,36,0,100,75
2008-01-03 0:00,26.56,4.014,14731.14,113.4,0,31,0,2008,1,3,39,28,100,80
2008-01-03 1:00,22.516,4.702,14718.71,97.4,0,55,0,2008,1,3,39,28,100,80
2008-01-03 2:00,67.502,5.22,14813.7,275.4,0,22,760,2008,1,3,39,28,100,80
2008-01-03 3:00,21.088,4.292,14897.65,92,0,10,0,2008,1,3,39,28,100,80
2008-01-03 4:00,22.364,6.364,14872.18,99.4,0,40,0,2008,1,3,39,28,100,80
2008-01-03 5:00,20.176,3.31,14755.35,88.8,0,9,0,2008,1,3,39,28,100,80
2008-01-03 6:00,48.786,5.308,14671.98,210.4,0,14,0,2008,1,3,39,28,100,80
2008-01-03 7:00,52.854,6.122,14489.17,225,0,28,138,2008,1,3,39,28,100,80
2008-01-03 8:00,118.56,3.082,14377.73,492.6,0,0,1057,2008,1,3,39,28,100,80
2008-01-03 9:00,47.87,5.388,14457.98,200.2,0,28,187,2008,1,3,39,28,100,80
2008-01-03 10:00,34.66,2.63,14566.08,142.6,0,0,0,2008,1,3,39,28,100,80
2008-01-03 11:00,105.928,2.822,14488.43,436,0,0,937,2008,1,3,39,28,100,80
2008-01-03 12:00,81.938,11.948,14457.75,347.8,0,30,368,2008,1,3,39,28,100,80
2008-01-03 13:00,27.692,7.514,14624.46,122.8,0,0,0,2008,1,3,39,28,100,80
2008-01-03 14:00,21.4,4.748,14785.25,88.6,0,0,0,2008,1,3,39,28,100,80
2008-01-03 15:00,39.466,5.782,14769.45,161,0,29,0,2008,1,3,39,28,100,80
2008-01-03 16:00,56.776,3.35,14757.01,233.4,0,0,0,2008,1,3,39,28,100,80
2008-01-03 17:00,131.756,3.028,14445.88,545.2,0,1,807,2008,1,3,39,28,100,80
2008-01-03 18:00,143.096,5.17,14214.26,600.2,0,28,1033,2008,1,3,39,28,100,80
2008-01-03 19:00,135.318,4.626,14201.8,571.2,0,0,1033,2008,1,3,39,28,100,80
2008-01-03 20:00,154.046,5.966,14196.17,652.6,377,454,351,2008,1,3,39,28,100,80
2008-01-03 21:00,73.244,4.912,14337.54,307.6,753,38,0,2008,1,3,39,28,100,80
2008-01-03 22:00,31.98,3.716,14623.73,131.2,0,0,0,2008,1,3,39,28,100,80
2008-01-03 23:00,24.532,7.168,14778.14,103.6,0,29,0,2008,1,3,39,28,100,80
2008-01-04 0:00,50.246,3.466,14612.79,206.6,0,0,550,2008,1,4,50,39,93,71
2008-01-04 1:00,16.046,2.434,14623.15,68,0,0,0,2008,1,4,50,39,93,71
2008-01-04 2:00,19.35,6.912,14780.03,84,0,30,0,2008,1,4,50,39,93,71
2008-01-04 3:00,17.132,3.564,14864.62,71.6,0,0,0,2008,1,4,50,39,93,71
