Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2007-01-01,12:00 AM,55 °F,54 °F,94 %,SSW,23 mph,37 mph,29.75 in,0.0 in,Mostly Cloudy / Windy
2007-01-01,12:30 AM,55 °F,54 °F,94 %,SSW,21 mph,37 mph,29.75 in,0.0 in,Mostly Cloudy / Windy
2007-01-01,1:00 AM,57 °F,54 °F,88 %,SW,23 mph,35 mph,29.75 in,0.0 in,Mostly Cloudy / Windy
2007-01-01,1:30 AM,57 °F,54 °F,88 %,SW,18 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2007-01-01,2:00 AM,57 °F,54 °F,88 %,SW,22 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy / Windy
2007-01-01,2:30 AM,57 °F,52 °F,82 %,SW,18 mph,30 mph,29.75 in,0.0 in,Mostly Cloudy
2007-01-01,3:00 AM,57 °F,52 °F,82 %,SW,18 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2007-01-01,3:30 AM,55 °F,50 °F,82 %,WSW,18 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2007-01-01,4:00 AM,55 °F,48 °F,77 %,WSW,15 mph,0 mph,29.78 in,0.0 in,Fair
2007-01-01,4:30 AM,54 °F,46 °F,77 %,WSW,21 mph,0 mph,29.78 in,0.0 in,Fair / Windy
2007-01-01,5:00 AM,54 °F,46 °F,77 %,SW,18 mph,30 mph,29.78 in,0.0 in,Fair
2007-01-01,5:30 AM,52 °F,46 °F,82 %,SW,13 mph,0 mph,29.75 in,0.0 in,Fair
2007-01-01,6:00 AM,52 °F,46 °F,82 %,SW,18 mph,0 mph,29.75 in,0.0 in,Fair
2007-01-01,6:30 AM,52 °F,45 °F,76 %,SW,16 mph,0 mph,29.75 in,0.0 in,Fair
2007-01-01,7:00 AM,52 °F,45 °F,76 %,SW,20 mph,31 mph,29.78 in,0.0 in,Fair
2007-01-01,7:30 AM,50 °F,43 °F,76 %,WSW,18 mph,0 mph,29.78 in,0.0 in,Partly Cloudy
2007-01-01,8:00 AM,50 °F,43 °F,76 %,SW,16 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2007-01-01,8:30 AM,50 °F,43 °F,76 %,SW,20 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2007-01-01,9:00 AM,50 °F,43 °F,76 %,SW,21 mph,32 mph,29.81 in,0.0 in,Mostly Cloudy / Windy
2007-01-01,9:30 AM,46 °F,41 °F,81 %,WSW,21 mph,38 mph,29.81 in,0.0 in,Partly Cloudy / Windy
2007-01-01,10:00 AM,48 °F,41 °F,76 %,WSW,22 mph,39 mph,29.84 in,0.0 in,Partly Cloudy / Windy
2007-01-01,10:30 AM,48 °F,39 °F,71 %,W,25 mph,40 mph,29.87 in,0.0 in,Partly Cloudy / Windy
2007-01-01,11:00 AM,48 °F,41 °F,76 %,WSW,20 mph,0 mph,29.87 in,0.0 in,Partly Cloudy
2007-01-01,11:30 AM,50 °F,39 °F,66 %,W,22 mph,0 mph,29.90 in,0.0 in,Partly Cloudy / Windy
2007-01-01,12:00 PM,50 °F,37 °F,62 %,W,21 mph,0 mph,29.90 in,0.0 in,Partly Cloudy / Windy
2007-01-01,12:30 PM,50 °F,37 °F,62 %,W,17 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2007-01-01,1:00 PM,52 °F,39 °F,62 %,W,20 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2007-01-01,1:30 PM,52 °F,37 °F,58 %,W,17 mph,0 mph,29.87 in,0.0 in,Partly Cloudy
2007-01-01,2:00 PM,52 °F,36 °F,54 %,WSW,15 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2007-01-01,2:30 PM,52 °F,36 °F,54 %,WSW,15 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2007-01-01,3:00 PM,50 °F,36 °F,58 %,WSW,13 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2007-01-01,3:30 PM,50 °F,39 °F,66 %,SW,13 mph,0 mph,29.87 in,0.0 in,Cloudy
2007-01-01,4:00 PM,48 °F,39 °F,71 %,SSW,10 mph,0 mph,29.87 in,0.0 in,Cloudy
2007-01-01,4:30 PM,48 °F,39 °F,71 %,SSW,9 mph,0 mph,29.84 in,0.0 in,Fair
2007-01-01,5:00 PM,48 °F,39 °F,71 %,S,7 mph,0 mph,29.84 in,0.0 in,Fair
2007-01-01,5:30 PM,46 °F,39 °F,76 %,S,9 mph,0 mph,29.81 in,0.0 in,Fair
2007-01-01,6:00 PM,46 °F,39 °F,76 %,S,9 mph,0 mph,29.78 in,0.0 in,Fair
2007-01-01,6:30 PM,46 °F,41 °F,81 %,S,9 mph,0 mph,29.78 in,0.0 in,Cloudy
2007-01-01,7:00 PM,46 °F,41 °F,81 %,S,7 mph,0 mph,29.72 in,0.0 in,Cloudy
2007-01-01,7:30 PM,46 °F,41 °F,81 %,S,9 mph,0 mph,29.72 in,0.0 in,Cloudy
2007-01-01,8:00 PM,45 °F,41 °F,87 %,SSW,7 mph,0 mph,29.72 in,0.0 in,Cloudy
2007-01-01,8:30 PM,45 °F,41 °F,87 %,SSW,14 mph,0 mph,29.69 in,0.0 in,Cloudy
2007-01-01,9:00 PM,43 °F,39 °F,87 %,S,9 mph,0 mph,29.69 in,0.0 in,Cloudy
2007-01-01,9:30 PM,43 °F,41 °F,93 %,S,13 mph,0 mph,29.66 in,0.0 in,Cloudy
2007-01-01,10:00 PM,43 °F,41 °F,93 %,SW,15 mph,29 mph,29.66 in,0.0 in,Mostly Cloudy
2007-01-01,10:30 PM,43 °F,41 °F,93 %,W,17 mph,0 mph,29.66 in,0.0 in,Cloudy
2007-01-01,11:00 PM,45 °F,41 °F,87 %,W,23 mph,36 mph,29.66 in,0.0 in,Cloudy / Windy
2007-01-01,11:30 PM,45 °F,41 °F,87 %,W,23 mph,35 mph,29.69 in,0.0 in,Cloudy / Windy
2007-01-02,12:00 AM,45 °F,39 °F,81 %,W,18 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
2007-01-02,12:30 AM,45 °F,39 °F,81 %,W,20 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2007-01-02,1:00 AM,45 °F,37 °F,76 %,W,22 mph,0 mph,29.78 in,0.0 in,Fair / Windy
2007-01-02,1:30 AM,45 °F,37 °F,76 %,W,20 mph,31 mph,29.81 in,0.0 in,Fair
2007-01-02,2:00 AM,43 °F,37 °F,81 %,W,15 mph,0 mph,29.84 in,0.0 in,Fair
2007-01-02,2:30 AM,43 °F,37 °F,81 %,W,14 mph,0 mph,29.87 in,0.0 in,Partly Cloudy
2007-01-02,3:00 AM,43 °F,36 °F,76 %,W,18 mph,0 mph,29.87 in,0.0 in,Partly Cloudy
2007-01-02,3:30 AM,43 °F,37 °F,81 %,W,15 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2007-01-02,4:00 AM,43 °F,37 °F,81 %,W,14 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2007-01-02,4:30 AM,41 °F,37 °F,87 %,W,15 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2007-01-02,5:00 AM,41 °F,37 °F,87 %,W,17 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2007-01-02,5:30 AM,41 °F,36 °F,81 %,W,12 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2007-01-02,6:00 AM,41 °F,37 °F,87 %,WSW,12 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,6:30 AM,41 °F,36 °F,81 %,WSW,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,7:00 AM,41 °F,36 °F,81 %,WSW,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,7:30 AM,41 °F,36 °F,81 %,WSW,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,8:00 AM,39 °F,36 °F,87 %,WSW,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,8:30 AM,39 °F,36 °F,87 %,SW,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,9:00 AM,39 °F,36 °F,87 %,SW,9 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,9:30 AM,41 °F,37 °F,87 %,WSW,12 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,10:00 AM,41 °F,37 °F,87 %,WSW,15 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,10:30 AM,43 °F,37 °F,81 %,WSW,14 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,11:00 AM,45 °F,39 °F,81 %,WSW,13 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,11:30 AM,46 °F,37 °F,71 %,W,21 mph,0 mph,29.98 in,0.0 in,Partly Cloudy / Windy
2007-01-02,12:00 PM,45 °F,39 °F,81 %,W,18 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2007-01-02,12:30 PM,45 °F,41 °F,87 %,W,12 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2007-01-02,1:00 PM,45 °F,41 °F,87 %,W,18 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2007-01-02,1:30 PM,43 °F,41 °F,93 %,W,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,2:00 PM,45 °F,41 °F,87 %,W,16 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,2:30 PM,46 °F,43 °F,87 %,W,13 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,3:00 PM,46 °F,41 °F,81 %,WNW,18 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2007-01-02,3:30 PM,45 °F,41 °F,87 %,W,14 mph,25 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,4:00 PM,46 °F,41 °F,81 %,W,16 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,4:30 PM,45 °F,41 °F,87 %,W,13 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2007-01-02,5:00 PM,45 °F,41 °F,87 %,W,10 mph,0 mph,30.01 in,0.0 in,Partly Cloudy
2007-01-02,5:30 PM,45 °F,39 °F,81 %,W,10 mph,0 mph,30.01 in,0.0 in,Partly Cloudy
2007-01-02,6:00 PM,45 °F,39 °F,81 %,W,12 mph,0 mph,30.01 in,0.0 in,Partly Cloudy
2007-01-02,6:30 PM,43 °F,39 °F,87 %,W,15 mph,0 mph,30.04 in,0.0 in,Partly Cloudy
2007-01-02,7:00 PM,45 °F,39 °F,81 %,W,13 mph,0 mph,30.04 in,0.0 in,Fair
2007-01-02,7:30 PM,45 °F,39 °F,81 %,W,13 mph,0 mph,30.04 in,0.0 in,Fair
2007-01-02,8:00 PM,45 °F,39 °F,81 %,W,13 mph,0 mph,30.07 in,0.0 in,Fair
2007-01-02,8:30 PM,45 °F,39 °F,81 %,W,10 mph,0 mph,30.07 in,0.0 in,Fair
