Datetime,Temperature,Humidity,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01 00:00:00,55 °F,94%,153.038,631.8,0.0,35.0,0.0
2007-01-01 01:00:00,57 °F,88%,151.404,626.6,0.0,0.0,0.0
2007-01-01 02:00:00,57 °F,88%,154.94,632.4,0.0,20.0,0.0
2007-01-01 03:00:00,57 °F,82%,152.5,624.0,0.0,16.0,0.0
2007-01-01 04:00:00,55 °F,77%,148.544,606.6,0.0,0.0,0.0
2007-01-01 05:00:00,54 °F,77%,148.574,609.0,0.0,35.0,0.0
2007-01-01 06:00:00,52 °F,82%,147.348,606.2,0.0,0.0,0.0
2007-01-01 07:00:00,52 °F,76%,146.832,607.2,0.0,33.0,0.0
2007-01-01 08:00:00,50 °F,76%,146.504,602.8,0.0,3.0,0.0
2007-01-01 09:00:00,50 °F,76%,188.768,783.1999999999999,0.0,0.0,722.0
2007-01-01 10:00:00,48 °F,76%,159.704,666.2,0.0,35.0,149.0
2007-01-01 11:00:00,48 °F,76%,154.56,647.6,0.0,0.0,0.0
2007-01-01 12:00:00,50 °F,62%,156.952,656.2,0.0,34.0,0.0
2007-01-01 13:00:00,52 °F,62%,129.744,542.2,0.0,0.0,0.0
2007-01-01 14:00:00,52 °F,54%,77.664,336.6,0.0,14.0,543.0
2007-01-01 15:00:00,50 °F,58%,114.55,475.8,0.0,21.0,1049.0
2007-01-01 16:00:00,48 °F,71%,83.406,344.8,0.0,0.0,1053.0
2007-01-01 17:00:00,48 °F,71%,97.924,410.0,0.0,35.0,1037.0
2007-01-01 18:00:00,46 °F,76%,87.714,362.4,0.0,0.0,1044.0
2007-01-01 19:00:00,46 °F,81%,43.938,185.2,0.0,28.0,283.0
2007-01-01 20:00:00,45 °F,87%,24.738,103.0,0.0,7.0,0.0
2007-01-01 21:00:00,43 °F,87%,26.036,109.8,0.0,0.0,0.0
2007-01-01 22:00:00,43 °F,93%,26.624,114.4,0.0,36.0,0.0
2007-01-01 23:00:00,45 °F,87%,26.998,116.4,0.0,0.0,0.0
2007-01-02 00:00:00,45 °F,81%,26.786,117.8,0.0,35.0,0.0
2007-01-02 01:00:00,45 °F,76%,26.204,112.6,0.0,0.0,0.0
2007-01-02 02:00:00,43 °F,81%,25.894,109.6,0.0,0.0,0.0
2007-01-02 03:00:00,43 °F,76%,27.85,121.4,0.0,35.0,0.0
2007-01-02 04:00:00,43 °F,81%,62.398,257.2,0.0,0.0,599.0
2007-01-02 05:00:00,41 °F,87%,42.636,181.6,0.0,34.0,267.0
2007-01-02 06:00:00,41 °F,87%,26.818,114.0,0.0,0.0,0.0
2007-01-02 07:00:00,41 °F,81%,24.754,104.8,0.0,2.0,0.0
2007-01-02 08:00:00,39 °F,87%,27.264,116.6,0.0,32.0,0.0
2007-01-02 09:00:00,39 °F,87%,25.058,103.8,0.0,0.0,0.0
2007-01-02 10:00:00,41 °F,87%,26.754,113.4,0.0,35.0,0.0
2007-01-02 11:00:00,45 °F,81%,25.966,108.6,0.0,0.0,0.0
2007-01-02 12:00:00,45 °F,81%,25.558,107.8,0.0,4.0,0.0
2007-01-02 13:00:00,45 °F,87%,27.54,118.8,0.0,30.0,0.0
2007-01-02 14:00:00,45 °F,87%,26.306,111.4,0.0,0.0,0.0
2007-01-02 15:00:00,46 °F,81%,86.286,354.2,0.0,38.0,953.0
2007-01-02 16:00:00,46 °F,81%,87.544,359.4,0.0,0.0,946.0
